index,number_depth,Posx (mm),Posy (mm),Posz (mm)
7161,30,-48.08948507965318,-9.843852713853211,195.4580600438637
7162,30,47.99957506583365,-10.298787714158026,195.4173361221689
7163,30,48.02759605928684,-10.195105188514612,64.62665081563496
7164,30,-48.05180855367384,-10.117036666178402,64.68425159052082
7165,30,51.64732691269477,-9.721762491302114,158.484761094713
7166,30,51.45596488385168,-10.305020215399596,100.193898885807
7167,30,-51.47977945863109,-10.116200206284097,99.9691159233427
7168,30,-51.31928663037234,-10.89774904974636,160.0428545971704
7171,20,41.81426699881121,-10.19497077977914,231.4131380031142
7172,20,-41.95093511803484,-10.140282318736014,29.171577852376203
7174,20,-41.87437381621694,-10.23454466998968,231.0830670655797
7176,20,41.95416132738941,-10.154825430930394,29.203643627071443
7177,30,-52.32219505212451,-10.282733449974783,136.1778953595202
7178,30,52.32015854625764,-10.306401090504814,124.0352436488175
7186,20,7.944872617095282,-42.36150257615536,231.1165149782195
7187,20,-3.552944787747574,-43.13693074329524,230.2204097226343
7188,30,3.108479592549936,-44.97978902344284,220.8902694997627
7189,30,-8.478471506865064,-44.495034489419794,219.7468972451848
7190,30,-1.79994742979836,-46.855583546806685,210.4514492513036
7191,30,9.819811679260326,-45.70525482698071,211.3229648464495
7192,30,4.936629269298527,-48.087546063888084,200.9169808264795
7193,30,-6.772558798766874,-48.01410669752595,199.8610566891716
7194,30,-0.02379239420294427,-49.72923129153125,190.356770160897
7195,30,-11.69836449425629,-48.482727834013346,189.1449603847317
7196,30,-4.980317636824429,-50.66044180852831,179.6666520957775
7197,30,6.790263908860832,-50.352094201243325,180.6331249744686
7198,30,1.843062546376144,-51.73285125595102,170.0432339662044
7199,30,-9.912406569366139,-50.9027362606406,168.85750358538
7200,30,-3.127395966874791,-52.41468771978351,159.2925817804917
7201,30,8.676558783421035,-51.72322201698614,160.3372539086996
7202,30,3.724851684828025,-52.84836227071635,149.59351577072
7203,30,-8.103515858929772,-52.398087756005516,148.4965493378883
7204,30,-1.276567733862742,-53.26913787927807,138.7767121566779
7205,30,15.35565424678039,-50.6627844882832,150.6116245713849
7206,30,-13.00144790829209,-51.69242154352874,137.6785875586972
7207,30,-6.23472932876536,-52.99145279739085,127.99654084684559
7208,30,-17.74335163378204,-50.31426769326052,126.868686417448
7209,30,-11.07127360273108,-52.03369237500823,117.2117226597778
7210,30,0.6650607148502362,-53.2222479125947,118.36224669954359
7211,30,-4.207979918236289,-52.69410980347573,107.5901989390013
7212,30,7.559744600178052,-52.37083054179605,108.784026149918
7213,30,2.706536534440117,-52.273981192383786,98.0194657222531
7214,30,-9.004876600379596,-51.49039233903485,96.9059001135447
7215,30,-2.145631223001622,-51.50318762564377,87.31519943409396
7216,30,9.449418318246208,-50.77643206331024,88.51116103092731
7217,30,4.65281609445403,-50.45546094212666,78.01671245713621
7218,30,-6.953825938180715,-50.042796470155515,76.63010252298753
7219,30,-0.1046886473418884,-49.436456099085326,67.2675076394529
7220,30,-11.69622634644727,-47.88306980433824,66.11827402554339
7221,30,11.48051843692342,-48.233502792533,68.42809663191997
7222,30,-19.51682775367592,-49.34385565886503,147.3055566706282
7223,30,-18.15341168172693,-45.17142532350357,198.4677121386702
7224,30,20.05887616134795,-48.3969285272091,161.2635498548524
7225,30,16.36428787364375,-45.38878057001297,201.5579635362376
7226,30,-18.20952938581771,-47.03917187917691,75.85859311824802
7227,30,-22.74781360489258,-44.58751318823005,187.5949974087144
7228,30,-4.921148704928541,-47.737265549643176,56.66542739878035
7229,30,-16.27633540964235,-44.999591084374835,55.73746172521358
7230,20,19.16845543390699,-38.641166907947245,230.9494604247319
7231,30,-22.27283897657662,-48.27880920389794,116.0933579534989
7232,30,26.27331215027527,-45.92161502399062,151.3882011921361
7233,30,-28.38503307514233,-45.16410482212203,125.78294494002131
7234,30,-9.623285554581772,-45.312570595823225,46.121787737539286
7235,30,1.933928013062056,-46.464356712369145,47.20237898005349
7236,30,30.41759810454399,-42.59356437358637,162.0483521654211
7237,30,-20.60323524857705,-41.37338594629864,45.511125456189845
7238,30,-32.3787292309079,-42.13376218205173,115.0164318011231
7239,30,12.36390892355194,-51.79841370033902,119.6027909609906
7240,30,18.97239101738958,-49.44995553766798,110.028698565466
7241,30,-26.67692388948322,-39.65892353222523,55.360393255600584
7242,30,23.45560767868417,-47.8373958851072,120.88089321104081
7243,30,29.45928748752416,-44.077829540385665,111.3700817887136
7244,30,33.383972851302,-41.545832447423635,121.96196904911301
7245,30,35.82613485683976,-38.887786101435935,152.1116531076345
7246,30,-28.52296240765918,-39.76081842359938,196.6158178562091
7247,30,-32.58797147665721,-38.28934573511413,185.6098494292217
7248,30,-37.64283520905798,-37.78201770393556,124.7443456246084
7249,30,-30.29589645787928,-35.064987093758496,46.221336570751824
7250,30,38.50864946432904,-36.511919506666054,112.7805799991284
7251,30,34.6908428851396,-39.52740337819142,102.1792741002932
7252,30,-2.783245347271041,-44.557194673904725,36.72874759597702
7253,30,8.74307292050135,-44.041942686961235,38.10401086303456
7254,30,39.21939968964759,-34.59701644519153,162.6900920031232
7255,30,34.11509321508468,-38.64678236535214,172.6584308146126
7256,30,42.02698753277362,-29.771685204258247,173.2017144938557
7257,30,37.29074345331545,-34.15522988058963,182.9468279579943
7258,25,-14.92637150759974,-40.9328139837941,228.8003356553994
7259,30,-40.88769113145933,-33.888903009871385,113.9852551057537
7260,30,-35.92494217037947,-38.56135099354891,104.2667367301868
7261,25,-25.61383387576411,-35.79553220992774,33.456423207217604
7262,30,-35.59044758688798,-31.979044018078802,55.69942811853356
7263,30,41.78430471997464,-33.12220423641082,123.56894364031979
7264,30,13.33341567337753,-44.81926787548253,48.75204439289935
7265,30,19.73309445439184,-40.710410279327604,39.951278515317185
7266,30,23.97040075353487,-40.534115209408675,50.801221749259184
7267,30,29.53559466517024,-34.81917619279492,42.281130795761975
7268,30,33.13629856239917,-34.05673047613181,53.52136755119876
7269,30,37.59430618986858,-26.760353745748784,45.07974539975901
7270,30,-19.55568766601737,-41.18804800401803,218.0801041144051
7271,25,-25.28467147494539,-36.00045547169133,226.6621819327282
7272,30,20.89120379366891,-41.73460876554138,211.7909915928782
7273,30,43.4455754838702,-30.04087952200725,153.3260911619135
7274,30,28.35295024103474,-41.960213797130336,182.2537942887935
7275,30,-33.9184046749447,-41.15466269552362,135.51798707471
7276,30,-42.17677925975489,-32.65549964720171,134.4818430956306
7277,30,-38.71297044992375,-36.419649374331236,144.5186001192484
7278,30,-37.29282648606093,-32.08500296341756,194.6223723374356
7279,30,-40.69495979457065,-29.935515508014454,183.4090820161955
7280,30,-36.25804695346105,-36.40889243116642,174.575104025252
7281,30,-33.52427092742732,-33.882223184991,205.5151189686049
7282,25,25.51057922385476,-35.35150553290449,31.327372355756715
7283,30,-32.13610001022229,-37.22441315826748,65.23514774303551
